Date,Treatment pH,Treatment temp C,Tub ,pH,Temp C,Salinity,Alkalinity,DIC
8/7/12,Control,Control,1,8.03,10.80,31.35,2133.40,1976.90
8/7/12,Control,Control +4,2,7.98,14.83,31.35,2133.40,1976.90
8/7/12,Control,Control +2,3,8.01,12.43,31.35,2133.40,1976.90
8/7/12,pH 7.8,Control,4,7.79,10.70,31.35,2142.51,2066.40
8/7/12,pH 7.8,Control +2,5,7.77,12.50,31.35,2142.51,2066.40
8/7/12,pH 7.8,Control +4,6,7.76,14.33,31.35,2142.51,2066.40
8/14/12,Control,Control,1,7.99,11.40,31.34,2147.69,2008.50
8/14/12,Control,Control +4,2,7.95,14.37,31.34,2147.69,2008.50
8/14/12,Control,Control +2,3,7.97,12.80,31.34,2147.69,2008.50
8/14/12,pH 7.8,Control,4,7.80,11.30,31.33,2127.21,2056.50
8/14/12,pH 7.8,Control +2,5,7.78,12.87,31.33,2127.21,2056.50
8/14/12,pH 7.8,Control +4,6,7.76,14.77,31.33,2127.21,2056.50
8/21/12,Control,Control,1,8.02,10.57,31.23,2136.90,2007.60
8/21/12,Control,Control +4,2,7.95,14.83,31.23,2136.90,2007.60
8/21/12,Control,Control +2,3,7.99,12.27,31.23,2136.90,2007.60
8/21/12,pH 7.8,Control,4,7.80,10.70,31.23,2130.43,2003.90
8/21/12,pH 7.8,Control +2,5,7.78,12.73,31.23,2130.43,2003.90
8/21/12,pH 7.8,Control +4,6,7.76,14.60,31.23,2130.43,2003.90
8/28/12,Control,Control,1,8.06,11.00,31.28,2128.19,1999.00
8/28/12,Control,Control +4,2,7.99,15.33,31.28,2128.19,1999.00
8/28/12,Control,Control +2,3,8.01,13.00,31.28,2128.19,1999.00
8/28/12,pH 7.8,Control,4,7.78,11.13,31.29,2146.52,2084.90
8/28/12,pH 7.8,Control +2,5,7.76,13.00,31.29,2146.52,2084.90
8/28/12,pH 7.8,Control +4,6,7.74,15.20,31.29,2146.52,2084.90
9/4/12,Control,Control,1,8.03,10.90,31.19,2150.34,1708.40
9/4/12,Control,Control +4,2,7.99,14.63,31.19,2150.34,1708.40
9/4/12,Control,Control +2,3,8.01,12.70,31.19,2150.34,1708.40
9/4/12,pH 7.8,Control,4,7.78,10.97,31.21,2143.38,2077.70
9/4/12,pH 7.8,Control +2,5,7.76,13.13,31.21,2143.38,2077.70
9/4/12,pH 7.8,Control +4,6,7.74,14.70,31.21,2143.38,2077.70
9/11/12,Control,Control,1,8.00,10.80,31.12,2148.66,2060.70
9/11/12,Control,Control +4,2,7.94,14.43,31.12,2148.66,2060.70
9/11/12,Control,Control +2,3,7.97,12.47,31.12,2148.66,2060.70
9/11/12,pH 7.8,Control,4,7.78,11.07,31.11,2144.93,1878.10
9/11/12,pH 7.8,Control +2,5,7.75,13.30,31.11,2144.93,1878.10
9/11/12,pH 7.8,Control +4,6,7.74,14.50,31.11,2144.93,1878.10
9/18/12,Control,Control,1,7.98,10.77,30.85,2130.21,2014.40
9/18/12,Control,Control +4,2,7.93,14.07,30.85,2130.21,2014.40
9/18/12,Control,Control +2,3,7.95,12.30,30.85,2130.21,2014.40
9/18/12,pH 7.8,Control,4,7.78,10.90,30.85,2129.85,1990.10
9/18/12,pH 7.8,Control +2,5,7.76,12.70,30.85,2129.85,1990.10
9/18/12,pH 7.8,Control +4,6,7.75,14.50,30.85,2129.85,1990.10
9/25/12,Control,Control,1,7.93,10.43,30.56,2098.83,2008.43
9/25/12,Control,Control +4,2,7.89,14.17,30.56,2098.83,2008.43
9/25/12,Control,Control +2,3,7.91,12.10,30.56,2098.83,2008.43
9/25/12,pH 7.8,Control,4,7.79,10.60,30.58,2102.27,2046.66
9/25/12,pH 7.8,Control +2,5,7.77,11.93,30.58,2102.27,2046.66
9/25/12,pH 7.8,Control +4,6,7.75,14.30,30.58,2102.27,2046.66
10/2/12,Control,Control,1,8.03,9.70,30.70,2091.17,1980.23
10/2/12,Control,Control +4,2,7.95,13.77,30.70,2091.17,1980.23
10/2/12,Control,Control +2,3,7.98,11.50,30.70,2091.17,1980.23
10/2/12,pH 7.8,Control,4,7.80,10.20,30.56,2088.15,2052.67
10/2/12,pH 7.8,Control +2,5,7.78,12.07,30.56,2088.15,2052.67
10/2/12,pH 7.8,Control +4,6,7.77,13.67,30.56,2088.15,2052.67
10/9/12,Control,Control,1,7.95,9.50,30.90,2111.86,
10/9/12,Control,Control +4,2,7.90,13.17,30.90,2111.86,
